#ZVView-data-copy:  21-Dec-2022 12:59:13
#=======================================
#
#name:   TENDL-2021: HO-166(N,G)HO-167
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6402
#data...
#            X            Y
#          MeV        barns
    7.70089e-6      412.177 
    7.71129e-6      391.601 
     7.7269e-6      363.706 
    7.74251e-6      338.898 
    7.75812e-6      316.735 
    7.77373e-6      296.848 
    7.79058e-6      277.591 
    7.80805e-6      259.715 
    7.82551e-6      243.674 
    7.84298e-6      229.225 
    7.86045e-6      216.161 
    7.87852e-6      203.919 
    7.89782e-6      192.102 
    7.91711e-6      181.416 
     7.9364e-6      171.719 
     7.9557e-6      162.893 
    7.97499e-6      154.835 
    8.00018e-6      145.331 
    8.02536e-6      136.826 
    8.05055e-6      129.184 
    8.07573e-6      122.291 
    8.10286e-6      115.599 
    8.12998e-6      109.565 
     8.1571e-6      104.108 
    8.18423e-6      99.1547 
    8.21135e-6      94.6452 
    8.24976e-6      88.9184 
    8.28364e-6      84.4239 
    8.32439e-6      79.6057 
    8.36622e-6      75.2326 
    8.40805e-6      71.3528 
    8.45524e-6      67.4789 
    8.49814e-6      64.3531 
    8.55158e-6      60.9071 
    8.59868e-6      58.2224 
    8.64577e-6        55.82 
    8.70672e-6        53.07 
    8.76766e-6      50.6648 
    8.82951e-6      48.5209 
    8.89136e-6      46.6316 
    8.95408e-6      44.9378 
     9.0486e-6      42.7408 
    9.14401e-6      40.8829 
    9.24076e-6      39.3014 
    9.33843e-6      37.9617 
    9.43701e-6      36.8234 
    9.53651e-6      35.8606 
    9.67105e-6      34.8104 
     9.8075e-6      33.9937 
    9.94586e-6      33.3839 
    1.00862e-5       32.955 
    1.02285e-5      32.6915 
    1.04056e-5      32.5821 
    1.05524e-5       32.661 
    1.07013e-5      32.8913 
    1.08523e-5       33.274 
    1.10054e-5      33.8151 
    1.11606e-5      34.5271 
    1.13181e-5      35.4249 
    1.14778e-5       36.528 
    1.16397e-5      37.8614 
    1.18039e-5      39.4566 
    1.19704e-5      41.3708 
    1.20971e-5       43.049 
     1.2225e-5      44.9672 
     1.2354e-5      47.1582 
    1.24843e-5       49.666 
    1.26164e-5      52.5601 
    1.27497e-5      55.8937 
     1.2839e-5      58.4045 
    1.29296e-5      61.2099 
    1.30201e-5      64.3081 
     1.3112e-5      67.7776 
    1.32038e-5       71.632 
     1.3297e-5      75.9981 
    1.33901e-5      80.8914 
     1.3461e-5      85.0176 
    1.35318e-5      89.5416 
     1.3603e-5       94.539 
    1.36748e-5      100.105 
    1.37467e-5      106.272 
    1.38192e-5      113.195 
     1.3892e-5      120.967 
    1.39649e-5      129.688 
    1.40141e-5      136.201 
    1.40634e-5      143.278 
    1.41126e-5      150.986 
    1.41619e-5      159.402 
    1.42119e-5      168.754 
    1.42618e-5      179.038 
    1.43118e-5       190.38 
    1.43617e-5       202.93 
    1.44124e-5      217.075 
     1.4463e-5      232.867 
     1.4501e-5       245.95 
     1.4539e-5      260.242 
    1.45758e-5      275.368 
    1.46101e-5      290.782 
    1.46444e-5      307.602 
    1.46787e-5      326.004 
     1.4713e-5      346.193 
    1.47474e-5      368.408 
    1.47864e-5      396.483 
    1.48124e-5      417.097 
    1.48384e-5      439.426 
    1.48644e-5      463.665 
    1.48904e-5      490.038 
    1.49164e-5      518.803 
    1.49424e-5      550.258 
     1.4971e-5      588.339 
    1.49943e-5      622.574 
    1.50177e-5      659.975 
    1.50411e-5       700.95 
    1.50644e-5      745.969 
    1.50864e-5      792.585 
    1.51057e-5      837.275 
    1.51251e-5      885.942 
    1.51444e-5      939.072 
    1.51637e-5      997.231 
     1.5183e-5      1061.07 
    1.52045e-5      1139.62 
    1.52206e-5       1204.5 
    1.52366e-5      1275.17 
    1.52527e-5      1352.36 
    1.52688e-5      1436.88 
    1.52849e-5      1529.69 
     1.5301e-5      1631.92 
    1.53171e-5      1744.86 
    1.53332e-5      1870.07 
    1.53493e-5      2009.37 
    1.53654e-5      2164.95 
    1.53761e-5      2278.96 
    1.53869e-5      2402.24 
    1.53976e-5       2535.8 
    1.54083e-5      2680.77 
    1.54191e-5      2838.46 
    1.54298e-5      3010.33 
    1.54405e-5      3198.06 
    1.54496e-5      3371.49 
    1.54588e-5      3559.06 
    1.54679e-5      3762.19 
     1.5477e-5      3982.49 
    1.54861e-5      4221.74 
    1.54952e-5      4481.87 
    1.55044e-5         4765 
    1.55135e-5      5073.45 
    1.55242e-5      5472.09 
    1.55349e-5      5913.49 
     1.5543e-5      6275.33 
     1.5551e-5      6665.72 
    1.55591e-5      7086.65 
    1.55671e-5      7540.02 
    1.55752e-5      8027.67 
    1.55832e-5      8551.25 
     1.5594e-5      9307.66 
    1.56047e-5      10132.8 
    1.56154e-5      11027.6 
    1.56262e-5      11990.9 
    1.56369e-5      13019.2 
     1.5653e-5        14669 
    1.56744e-5      17009.4 
    1.57029e-5      20136.9 
    1.57147e-5      21353.1 
    1.57265e-5      22469.5 
    1.57381e-5      23437.3 
    1.57496e-5      24230.8 
    1.57582e-5      24705.1 
    1.57668e-5      25065.4 
    1.57754e-5      25304.3 
    1.57828e-5      25409.3 
    1.57874e-5      25425.9 
    1.57971e-5      25340.9 
    1.58049e-5      25152.3 
    1.58128e-5      24859.9 
    1.58247e-5      24238.5 
    1.58343e-5      23583.1 
     1.5844e-5      22811.5 
    1.58569e-5      21633.1 
    1.58697e-5        20326 
    1.58923e-5      17866.8 
    1.59191e-5        14918 
    1.59352e-5      13250.7 
    1.59459e-5      12207.7 
    1.59566e-5      11228.1 
    1.59674e-5      10316.2 
    1.59781e-5      9473.46 
    1.59888e-5      8699.61 
    1.59996e-5      7992.61 
    1.60076e-5      7504.36 
    1.60157e-5      7050.32 
    1.60237e-5      6628.69 
    1.60318e-5      6237.58 
    1.60398e-5      5875.02 
    1.60479e-5      5539.09 
    1.60559e-5      5227.87 
    1.60639e-5      4939.51 
     1.6072e-5      4672.26 
      1.608e-5      4424.45 
    1.60921e-5      4085.78 
    1.61042e-5      3782.53 
    1.61122e-5       3597.9 
     1.6123e-5      3371.26 
    1.61337e-5      3164.74 
    1.61444e-5      2976.15 
    1.61552e-5      2803.59 
    1.61659e-5      2645.36 
    1.61766e-5      2499.98 
    1.61873e-5      2366.13 
    1.61981e-5      2242.65 
    1.62088e-5      2128.53 
    1.62249e-5      1972.93 
     1.6241e-5      1833.73 
    1.62571e-5      1708.73 
    1.62732e-5      1596.07 
    1.62893e-5       1494.2 
    1.63054e-5      1401.79 
    1.63215e-5       1317.7 
    1.63376e-5      1240.97 
    1.63537e-5      1170.77 
    1.63698e-5      1106.39 
    1.63885e-5      1038.02 
    1.64072e-5      975.819 
    1.64259e-5      919.072 
    1.64446e-5      867.157 
    1.64633e-5      819.542 
     1.6483e-5      773.663 
    1.65031e-5       730.59 
    1.65232e-5      691.041 
      1.655e-5      643.153 
    1.65769e-5      600.117 
     1.6601e-5      565.006 
    1.66251e-5      532.918 
    1.66493e-5      503.514 
    1.66734e-5      476.501 
    1.66976e-5      451.628 
    1.67217e-5      428.673 
    1.67579e-5      397.427 
    1.67834e-5       377.47 
    1.68102e-5       358.07 
    1.68505e-5      331.702 
    1.68907e-5      308.194 
    1.69309e-5      287.149 
    1.69712e-5      268.234 
    1.70146e-5      249.919 
    1.70595e-5      232.906 
    1.71044e-5      217.624 
    1.71493e-5      203.844 
    1.71943e-5      191.376 
